201.886	198.621	153.269	141.061	168.101	215.788	162.211	140.359	136.132
198.056	195.523	150.659	139.321	197.003	204.953	159.495	138.406	133.538
194.088	193.173	148.584	138.039	206.846	195.721	156.382	136.468	131.447
190.365	190.624	146.57	139.596	209.714	191.525	154.032	134.545	147.974
187.054	188.046	145.105	161.387	208.356	188.809	152.063	132.439	167.231
183.803	185.879	147.684	172.74	197.308	185.665	150.613	131.035	174.251
180.355	185.085	167.918	174.373	186.672	182.216	148.965	144.571	172.923
177.501	199.521	181.331	172.572	182.354	179.103	147.272	165.064	169.978
176.128	219.999	185.497	170.665	179.317	176.585	146.249	173.167	161.646
182.583	223.921	184.368	164.927	175.197	174.205	156.809	173.839	155.786
211.301	218.382	182.903	159.907	171.153	172.771	178.066	172.404	151.758
223.021	209.455	174.831	157.404	167.674	172.648	187.237	171.092	149.454
221.647	206.525	168.574	154.779	164.423	194.577	187.542	162.684	146.387
216.642	203.671	164.546	151.834	162.669	213.85	186.397	157.648	143.029
203.824	200.864	162.135	149.103	163.081	218.779	184.81	154.398	140.084
198.605	197.98	159.754	146.875	189.48	218.962	175.807	152.185	137.429
194.973	195.508	156.733	144.983	205.671	217.878	170.283	149.728	134.728
191.464	192.7	153.971	143.289	208.509	206.235	167.414	146.371	132.576
187.847	190.029	151.422	141.671	208.021	196.896	165.446	143.426	136.788
184.505	188.564	149.362	140.313	200.574	192.791	162.943	141.091	160.929
181.484	189.739	147.348	138.894	186.565	189.724	159.632	139.108	173.885
178.142	215.406	146.768	138.177	182.46	186.489	156.809	137.063	175.197
175.487	230.407	162.379	148.355	179.225	182.796	154.642	135.064	172.786
174.297	230.193	179.714	167.231	175.533	179.851	152.857	133.156	168.391
187.969	224.944	187.206	174.144	171.306	177.15	151.239	132.103	159.693
214.079	214.75	186.718	173.015	167.918	174.48	149.332	153.971	154.932
221.678	211.362	185.711	171.138	164.423	173.305	147.897	169.52	151.575
219.282	208.173	181.453	167.75	161.311	174.51	150.201	175.7	148.675
212.064	204.969	171.596	161.173	160.303	198.239	173.427	174.937	145.471
200.909	201.459	166.972	158.61	178.844	215.116	185.68	173.976	142.022
197.11	198.331	163.691	156.29	199.918	218.626	188.58	171.748	138.65
193.814	195.248	161.387	153.543	205.594	218.718	187.145	162.073	135.613
190.38	192.15	158.503	150.964	207.837	216.184	186.581	158.152	132.531
187.084	191.143	155.649	148.492	202.619	202.939	180.98	155.115	130.577
184.246	198.315	153.131	146.31	184.917	195.034	171.565	152.902	150.14
181.285	223.769	150.674	144.632	180.996	191.128	168.483	150.018	168.055
178.234	232.406	148.523	142.861	178.035	187.832	166.056	146.661	173.503
176.036	229.918	147.623	141.336	173.579	184.185	163.661	143.808	171.748
175.197	222.349	159.083	139.84	169.963	180.645	160.38	141.534	168.864
195.66	214.124	177.242	138.39	165.98	177.654	157.267	139.504	160.013
219.816	210.828	185.818	137.902	163.31	175.105	154.932	137.444	154.306
224.47	207.532	186.336	156.351	160.181	172.435	152.918	135.171	150.278
222.197	204.007	185.497	171.901	159.052	171.229	151.102	133.538	147.684
214.018	200.757	181.591	176.204	169.017	175.426	149.149	135.934	144.525
203.153	197.796	172.008	174.861	193.341	199.338	147.317	160.7	141.259
199.155	194.714	167.46	173.473	203.778	213.529	146.478	172.267	138.284
195.767	192.364	164.485	169.413	203.473	215.04	163.844	175.685	135.43
192.12	191.464	162.165	162.516	201.367	214.933	180.339	174.159	132.607
188.747	207.227	159.54	160.105	186.352	210.95	185.833	173.213	130.425
185.604	226.225	157.129	157.312	179.988	196.988	184.246	168.284	144.082
182.537	229.384	154.825	154.673	176.357	191.311	182.949	159.937	164.073
179.347	223.906	152.643	151.911	173.518	188.061	179.21	156.534	171.916
177.532	214.109	150.69	149.377	169.917	185.314	169.383	153.818	170.939
177.654	210.798	149.713	147.241	168.65	182.186	166.178	151.346	167.704
203.031	207.563	157.175	145.44	162.592	179.027	163.569	147.943	159.586
223.494	204.389	176.708	143.396	160.349	176.479	161.539	144.525	154.169
